Tópico,Palavras,Pesos
15,"bdm, fed, tmealexeconomia, inflacao, fonte, taxas, juros, mercado, alta, trimestre","[0.016, 0.015, 0.0145, 0.0111, 0.011, 0.0102, 0.01, 0.0081, 0.0077, 0.0077]"
16,"comunismo, comunista, comunistas, diga, capitalismo, implantar, capitalista, ditadura, buser, paises","[0.0239, 0.0229, 0.0209, 0.0039, 0.0032, 0.003, 0.0029, 0.0027, 0.0027, 0.0023]"
17,"facebook, tamojuntofacebook, horacio, datapovo, junior, face, padre, 30, boa, 22","[0.8836, 0.0072, 0.0052, 0.0038, 0.0022, 0.0017, 0.0012, 0.0012, 0.0005, 0.0004]"
18,"foto, fotografia, izilda, imagem, fotos, matilde, aluisio, parreiras, mattioni, ribeiro","[0.0855, 0.0273, 0.0165, 0.0161, 0.0137, 0.0135, 0.013, 0.0126, 0.0125, 0.0123]"
19,"roughsex, , , , , , , , , ","[1.6667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,"anal, sex, , , , , , , , ","[0.7123, 0.4263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,"venezuela, cuba, venezuelanos, venezuelanas, latina, maduro, chile, argentina, venezuelano, america","[0.0368, 0.0194, 0.0192, 0.0186, 0.0094, 0.0087, 0.0086, 0.0083, 0.0083, 0.0077]"
22,"news, fake, fakenews, espalhando, noticia, alertem, noticias, espalhar, falsas, janones","[0.043, 0.0394, 0.0151, 0.0087, 0.0085, 0.0073, 0.0069, 0.0061, 0.0058, 0.0052]"
23,"rough, , , , , , , , , ","[1.69, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,"paulista, nunes, augusto, eh, fiuza, ek, pan, tava, jovem, julle","[0.0131, 0.0064, 0.0059, 0.0056, 0.0052, 0.0048, 0.0044, 0.0043, 0.0041, 0.004]"
25,"vpn, aloqa, lrjl, bbynyd, ayollari, mmnwh, ingliz, ymrswn, lmhzwr, lnjlyzyt","[0.0413, 0.0351, 0.0351, 0.0351, 0.0351, 0.0351, 0.0351, 0.0351, 0.0351, 0.0351]"
26,"terrabrasilnoticias, huck, epica, invertida, kelmon, luciano, web, ong, le, padre","[0.4401, 0.0173, 0.0158, 0.013, 0.0082, 0.008, 0.008, 0.0066, 0.0045, 0.004]"
27,"withdrawal, successful, your, congratulations, withdrawals, on, platform, company, happy, here","[0.0764, 0.0397, 0.0307, 0.0299, 0.0257, 0.0257, 0.0196, 0.0178, 0.0164, 0.0152]"
28,"urnas, votos, fraude, brasileiros, votar, filas, eleitoral, eleitores, exterior, eleitorais","[0.0045, 0.0041, 0.0039, 0.0038, 0.0032, 0.003, 0.0028, 0.0028, 0.0027, 0.0027]"
29,"infiltrados, adm, grupos, infiltrado, grupo, derrubando, excluir, cuidado, infiltrada, banir","[0.0161, 0.015, 0.0123, 0.01, 0.0097, 0.0078, 0.0066, 0.0062, 0.0057, 0.0054]"
30,"satanas, satanistas, satanista, satanismo, lucifer, demonios, satanica, satanico, luciferianismo, satanicos","[0.0235, 0.0205, 0.0196, 0.0163, 0.0143, 0.0107, 0.0103, 0.0091, 0.0089, 0.0067]"
31,"lula, picanha, mergulhei, venceu, derrotarlulacom, impossivel, tentaculos, marisco, aliado, ladrao","[0.0128, 0.0084, 0.005, 0.0048, 0.0048, 0.0046, 0.0045, 0.0041, 0.0038, 0.0038]"
32,"success, sucesso, jou, your, geluk, hard, achievement, jy, baie, achieve","[0.0247, 0.0186, 0.0139, 0.0123, 0.0117, 0.0112, 0.0104, 0.0103, 0.0095, 0.0088]"
33,"bitchute, vonderlane, ursula, impressionante, 12, parte, , , , ","[1.5712, 0.0103, 0.0054, 0.0035, 0.0011, 0.0006, 0.0, 0.0, 0.0, 0.0]"
34,"caminhoneiros, estradas, caminhoneiro, rodovias, caminhoes, parados, paralisacao, parando, rodovia, pneus","[0.0603, 0.0176, 0.0161, 0.0156, 0.0126, 0.0104, 0.0075, 0.0074, 0.0071, 0.0067]"
35,"ruas, ir, pras, rua, lotar, quarteis, gloa, massa, irmos, povo","[0.0326, 0.0149, 0.0097, 0.0084, 0.0073, 0.0058, 0.0053, 0.0051, 0.0047, 0.0047]"
36,"terrabrasilnoticias, espalha, vote, 22, verdade, , , , , ","[0.4554, 0.0075, 0.0016, 0.0014, 0.0007, 0.0, 0.0, 0.0, 0.0, 0.0]"
37,"bradojornal, araque, todabahia, rondoniaovivo, wtf, vakinha, operacaoviravoto, faroldabahia, forbes, bocadeurna","[0.1214, 0.0785, 0.0535, 0.0377, 0.0351, 0.0334, 0.0302, 0.0297, 0.0287, 0.0285]"
38,"tmeewzipdz42veynzjh, relate, digitando, rj, perceber, administradores, convite, chame, janeiro, familiares","[0.0678, 0.0331, 0.033, 0.0326, 0.0311, 0.0299, 0.0297, 0.0297, 0.0268, 0.0264]"
39,"patriotas, patriota, patriotismo, loser, covardes, comenta, sozinho, bolsonaroeleitosegundoturno2022, ajudem, inscrevase","[0.0413, 0.019, 0.0069, 0.0052, 0.0049, 0.0047, 0.0042, 0.0042, 0.0041, 0.0039]"
40,"vm, lm, qyoutu, imvf, mds, depoimento, mito, live, veja, ","[1.9875, 0.0164, 0.0119, 0.0119, 0.0071, 0.0033, 0.0022, 0.0011, 0.0007, 0.0]"
41,"radios, radio, insercoes, radiolao, 154, campanha, emissoras, provas, fabio, denuncia","[0.0457, 0.0386, 0.0341, 0.0143, 0.0134, 0.0075, 0.0068, 0.0067, 0.0067, 0.0066]"
42,"armadas, forcas, militares, soldados, chapeus, soldado, tropa, continencia, militar, tropas","[0.0208, 0.0179, 0.017, 0.0091, 0.008, 0.006, 0.0059, 0.0054, 0.0047, 0.0047]"
43,"twitter, vaidarbolsonaro, evil, tweet, twiter, tuitaco, defend, stuff, contraacensuradopt, wrong","[0.0485, 0.0181, 0.0111, 0.0102, 0.0087, 0.0081, 0.0077, 0.0073, 0.0069, 0.0057]"
44,"debate, presidencial, debates, globo, debatenaglobo, band, ultimo, bloco, assistir, perguntas","[0.0486, 0.0123, 0.0117, 0.0115, 0.0114, 0.0108, 0.0096, 0.009, 0.0073, 0.0065]"
45,"igreja, catolica, catolico, catolicos, igrejas, evangelicos, cnbb, evangelico, pastores, evangelicas","[0.0372, 0.0236, 0.022, 0.0218, 0.0212, 0.021, 0.01, 0.0098, 0.0097, 0.0081]"
46,"arab, swpr, fylm, hrwqt, tomonidan, oshganlar, zorlanganini, fyltrshkhn, faqat, bbyn","[0.0682, 0.0668, 0.0632, 0.0468, 0.0468, 0.0468, 0.0468, 0.0468, 0.0468, 0.0468]"
47,"noticias, publicacao, feita, primeira, pouco, otima, noticia, news, dias, pronto","[0.6992, 0.0125, 0.0095, 0.0065, 0.0054, 0.004, 0.0034, 0.0032, 0.0032, 0.0023]"
48,"selva, pag, item, oficial, 160, abertamente, ndeg, absurdos, paissao, levarao","[0.1102, 0.0732, 0.0634, 0.0606, 0.0553, 0.0255, 0.022, 0.0207, 0.0188, 0.0162]"
49,"adicione, experimente, consulte, tela, agenda, fixadas, topo, mensagens, neste, ter","[0.1537, 0.1502, 0.1499, 0.1338, 0.0896, 0.0851, 0.0817, 0.0771, 0.0512, 0.0226]"
50,"senadores, senado, senador, deputados, governadores, camara, congresso, silveira, senadora, pacheco","[0.0333, 0.0273, 0.0223, 0.0162, 0.0109, 0.0101, 0.0093, 0.008, 0.0077, 0.007]"
51,"mentira, mentiroso, mentiras, verdades, mentir, verdade, ignorancia, esmagada, mentindo, narrativas","[0.027, 0.0188, 0.0187, 0.0187, 0.0127, 0.0126, 0.0123, 0.0111, 0.0091, 0.0088]"
52,"fe, orar, rezar, deus, misericordia, divina, confiar, missa, rezando, controle","[0.0243, 0.0219, 0.0113, 0.0112, 0.011, 0.0104, 0.0078, 0.0067, 0.0053, 0.0045]"
53,"nelia, barros, foto, nisio, abras, putinato, saulo, mostrada, informado, feita","[0.7487, 0.6272, 0.1147, 0.0124, 0.0107, 0.0051, 0.0033, 0.003, 0.0011, 0.0009]"
54,"tmebseuttfoo8c5ywfh, gerais, mg, minas, relate, digitando, perceber, chame, administradores, convite","[0.0749, 0.0411, 0.0406, 0.0354, 0.0313, 0.0312, 0.0294, 0.0287, 0.0283, 0.0281]"
55,"china, chines, xi, jinping, taiwan, comunista, chineses, pequim, jintao, partido","[0.0372, 0.0296, 0.0212, 0.018, 0.0172, 0.0098, 0.0098, 0.009, 0.0088, 0.0085]"
56,"decrete, pastorpadrebispolider, formem, combata, repreenda, provida, 301022, 3010, ore, espiritos","[0.0055, 0.0055, 0.0053, 0.0051, 0.0049, 0.0049, 0.0045, 0.0043, 0.0042, 0.0041]"
57,"aborto, abortista, bebe, abortar, gravidez, salina, injecao, genero, drogas, ventre","[0.0595, 0.0189, 0.0132, 0.0124, 0.0109, 0.0099, 0.0093, 0.0084, 0.0079, 0.0079]"
58,"pill, red, conhecereis, libertara, 832, inscreva, joao, verdade, compartilhe, canal","[0.1105, 0.1084, 0.0908, 0.0901, 0.0901, 0.0545, 0.0481, 0.0415, 0.0375, 0.03]"
59,"sugerir, interagir, brigas, evitem, gostam, discussoes, cursos, conversar, vindo, lembrando","[0.0745, 0.0717, 0.0715, 0.0665, 0.0655, 0.0628, 0.0553, 0.0536, 0.0525, 0.0515]"
60,"brasileiro, exige, banimento, presidente, brasil, queremos, multinacionais, autoriza, tratam, manipulado","[0.0051, 0.0049, 0.0045, 0.004, 0.0039, 0.0035, 0.0032, 0.003, 0.0029, 0.0027]"
61,"audio, audios, oucam, mp3, forcem, escutem, player, consistencia, 0811, 0711","[0.1505, 0.0479, 0.0149, 0.0094, 0.0087, 0.0082, 0.0079, 0.007, 0.0069, 0.0067]"
62,"censura, censurado, derrubaram, janonismo, censurar, pan, censuraram, censurados, jovem, censurando","[0.0467, 0.0184, 0.0142, 0.0139, 0.0129, 0.0106, 0.0103, 0.0102, 0.0097, 0.0081]"
63,"platform, plataforma, hierdie, die, congratulations, dit, is, parabens, geluk, happy","[0.0358, 0.0211, 0.0204, 0.0176, 0.0143, 0.0143, 0.013, 0.0128, 0.0119, 0.0111]"
64,"crypto, meta, trading, company, group, trader, congratulations, is, here, best","[0.0951, 0.0765, 0.0594, 0.0378, 0.0197, 0.0187, 0.0179, 0.0172, 0.0172, 0.0165]"
65,"rossi, marcelo, foto, temper, semper, provaram, confianca, mim, 100, empresa","[0.6147, 0.4098, 0.1005, 0.0757, 0.0744, 0.0627, 0.0207, 0.01, 0.0097, 0.0088]"
66,"bitcoin, obten, segurook, criptomoeda, mineracao, btc, criptomoedas, invierte, investimento, bitcoins","[0.0438, 0.0146, 0.0108, 0.0096, 0.0094, 0.0092, 0.0092, 0.0089, 0.008, 0.0079]"
67,"jornaldacidadeonline, folhear, 475, gazetadasemana, exige, interativo, reclamacoes, exmensaleiro, mega, anuncios","[0.4984, 0.0366, 0.0331, 0.0324, 0.0286, 0.0268, 0.023, 0.0216, 0.0216, 0.0204]"
68,"1080p, hd, sex, , , , , , , ","[0.8437, 0.8114, 0.2842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
69,"redemption3301, , , , , , , , , ","[2.3849, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
70,"pressione, botao, escrever, minutos, dentro, abaixo, poder, grupo, yam, priscila","[0.1076, 0.105, 0.0936, 0.0824, 0.0583, 0.0476, 0.0343, 0.012, 0.0057, 0.0043]"
71,"pedofilia, pedofilos, sexual, pedofilo, pedofila, estupro, xuxa, trafico, damares, criancas","[0.0362, 0.0267, 0.0223, 0.0202, 0.0175, 0.0157, 0.0153, 0.0144, 0.0142, 0.0136]"
72,"oremunspelosoutros, pazsejaconvosco, bomdia, deusteabencoe, ntlh, deusacimadetodos, brasilacimadetudo, deuspatriafamilialiberdade, orempelobrasil, orar","[0.0177, 0.0177, 0.0174, 0.0171, 0.0169, 0.0166, 0.0164, 0.0162, 0.0156, 0.0141]"
73,"jefferson, roberto, tiros, pf, jeferson, prisao, exdeputado, policia, atirou, granada","[0.0885, 0.0597, 0.0248, 0.0172, 0.0164, 0.0153, 0.0133, 0.0128, 0.0113, 0.0113]"
74,"rosa, video, claudinei, sulinha, jose, rosa639, celma, avermelhado, dixon, rosangela","[0.7241, 0.0944, 0.0617, 0.0177, 0.0105, 0.0102, 0.0094, 0.0089, 0.008, 0.0056]"
75,"14, aloqani, saytlarda, qiz, pwrn, lmr, lbhy, yoshli, tblg, byynyd","[0.0583, 0.0561, 0.0561, 0.0561, 0.0561, 0.0561, 0.0561, 0.0561, 0.0561, 0.0561]"
76,"telegram, bloqueado, canais, proxies, signal, zap, derrubar, bloqueando, configuracao, grupodo","[0.0194, 0.0137, 0.0126, 0.0103, 0.01, 0.0088, 0.007, 0.006, 0.0059, 0.0059]"
77,"anal, maracugina, vibrador, oco, enche, mama, cu, , , ","[1.4031, 0.0214, 0.0144, 0.0128, 0.0107, 0.0101, 0.003, 0.0, 0.0, 0.0]"
78,"running, set, hold, close, pips, wanna, hit, breakeven, now, half","[0.1335, 0.1327, 0.1283, 0.1211, 0.1, 0.0716, 0.0674, 0.0659, 0.0601, 0.0592]"
79,"pressione, botao, escrever, minutos, dentro, abaixo, poder, grupo, taduth, larissa","[0.1071, 0.1045, 0.0933, 0.0822, 0.058, 0.0473, 0.0341, 0.0119, 0.0044, 0.0043]"
80,"ministro, ministros, ministerios, ministra, stf, godoy, panico, colocados, malucada, preescola","[0.0347, 0.0315, 0.013, 0.0124, 0.011, 0.0096, 0.0083, 0.0074, 0.0071, 0.0071]"
81,"policia, policial, policiais, atira, atirou, atirar, policias, police, jogou, deputy","[0.0472, 0.0319, 0.0293, 0.0168, 0.013, 0.0125, 0.0124, 0.0082, 0.0076, 0.0069]"
82,"ipira, noticias, vindoa, compartilhe, bem, grupo, disselogo, dilacerar, inprecionante, deiporem","[0.4148, 0.1154, 0.1051, 0.0764, 0.035, 0.0172, 0.0037, 0.0037, 0.0037, 0.0037]"
83,"mei, reinando, emprego, dinheiro, pagar, lacra, dedal, pedicao, trabalho, lucra","[0.0193, 0.0125, 0.0123, 0.0108, 0.0108, 0.0106, 0.0103, 0.01, 0.009, 0.0089]"
84,"nordeste, nordestino, nordestinos, sudeste, culpa, nordestina, dividir, norte, sulistas, vergonha","[0.0716, 0.0453, 0.0303, 0.0102, 0.0101, 0.0091, 0.0085, 0.0083, 0.0069, 0.0065]"
85,"lesbian, transgender, penis, gets, dailymail, her, out, tv, on, live","[2.6106, 0.0154, 0.0146, 0.0143, 0.0101, 0.0065, 0.0044, 0.0034, 0.0023, 0.0022]"
86,"vaginall, sex, corrimento, vagina, lelah, pelvica, hidratantes, sexologa, fisio, psicanalista","[1.2279, 0.3889, 0.0201, 0.0173, 0.0109, 0.0109, 0.0109, 0.0109, 0.0086, 0.0083]"
87,"maconha, cocaina, drogas, droga, trafico, narcotrafico, kg, apreendida, apreendidos, nikolas","[0.0417, 0.0338, 0.0264, 0.0194, 0.0156, 0.0152, 0.0138, 0.0136, 0.0133, 0.0132]"
88,"apostagem, siganos, chat, whatsapp, direitaonline, telegram, jantar, pedalinhos, valdemar, datafolha","[0.1177, 0.0959, 0.0666, 0.0452, 0.0402, 0.0132, 0.0059, 0.0057, 0.0056, 0.0054]"
89,"foto, bn, magna, telma, ttc, nei, imagem, clau, rcs, mvca","[0.3068, 0.143, 0.0764, 0.0715, 0.0691, 0.0442, 0.0244, 0.0215, 0.0201, 0.0201]"
90,"visitem, canal, canais, acabouporra, boraa, ligacoes, opaaa, positiva, mole, equidade","[0.0606, 0.0297, 0.0172, 0.0158, 0.015, 0.0118, 0.0102, 0.0099, 0.0095, 0.0094]"
91,"sociais, redes, social, euvoteibolsonaro22, rede, bombar, humanitario, pretexto, coloca, abstinencia","[0.0382, 0.0366, 0.0175, 0.0169, 0.0142, 0.0129, 0.0109, 0.0087, 0.0072, 0.0072]"
92,"ditador, ditadura, ditadores, toga, avanca, ditaduras, ditaria, traidos, desmandos, absterse","[0.0435, 0.0433, 0.0197, 0.0107, 0.0105, 0.0089, 0.0069, 0.0068, 0.0068, 0.0065]"
93,"professores, universidades, escolas, professora, escola, alunos, universidade, educacao, faculdades, professor","[0.0309, 0.0257, 0.0205, 0.0169, 0.0166, 0.0155, 0.014, 0.0124, 0.0102, 0.01]"
94,"chorar, desespero, dor, chorando, choro, tristeza, emocao, triste, chora, emocional","[0.0385, 0.0348, 0.022, 0.0212, 0.0192, 0.0173, 0.0161, 0.0128, 0.0116, 0.0115]"
95,"facebook, gados, 19hs, dlive, estrangeira, vk, argumentado, categorico, zuckerberg, crio","[0.0702, 0.0251, 0.0225, 0.021, 0.0177, 0.0147, 0.0129, 0.0127, 0.0118, 0.0117]"
96,"mulher, mulheres, feministas, feminista, feminismo, homens, linguagem, butler, assediar, cultural","[0.0376, 0.0349, 0.0263, 0.0186, 0.0137, 0.0136, 0.0135, 0.0134, 0.011, 0.0103]"
97,"gettr, legend, getrevue, importa, what, on, urgente, sistema, ganhar, ","[0.9514, 0.0197, 0.0149, 0.0052, 0.0039, 0.0025, 0.0017, 0.0015, 0.0008, 0.0]"
98,"comer, carne, picanha, alimentos, coco, comida, joio, omelete, arroz, tomates","[0.0292, 0.0257, 0.0175, 0.0161, 0.015, 0.0142, 0.0138, 0.0129, 0.0128, 0.0124]"
99,"tao, mao, pequeninhos, neguem, deusinhos, valeram, protegelo, arrependamse, inertes, carregados","[0.0272, 0.0173, 0.0083, 0.008, 0.0076, 0.0076, 0.0069, 0.0067, 0.0065, 0.0064]"
100,"videos, cbs, marquem, noticiando, nbc, video, tony, abc, londres, bbc","[0.0136, 0.0116, 0.0114, 0.0094, 0.009, 0.0088, 0.0087, 0.0084, 0.0082, 0.008]"
101,"atrombetanews, desperdicio, orgulhoso, meses, desta, obrigado, investimento, uscloudminer, plataforma, ","[1.9576, 0.1751, 0.1435, 0.0398, 0.0395, 0.0268, 0.0244, 0.0203, 0.0196, 0.0]"
102,"nada, nunca, ninguem, iscolhe, fasiu, lador, observo, esperava, estaria, fizer","[0.0242, 0.0178, 0.0166, 0.0098, 0.0098, 0.0098, 0.009, 0.0088, 0.0075, 0.0074]"
103,"aeroporto, voos, aeronaves, aviao, helicoptero, voo, drone, guarulhos, cancelados, helicopteros","[0.0487, 0.0218, 0.0205, 0.02, 0.0187, 0.0182, 0.0174, 0.017, 0.0142, 0.0125]"
104,"jesus, cristo, nome, evangelho, crucificado, repreendido, pao, senhor, carpado, twist","[0.0519, 0.0215, 0.0157, 0.009, 0.0078, 0.0077, 0.0071, 0.0064, 0.0064, 0.0064]"
105,"him, invested, my, got, thanks, contact, mr, below, his, her","[0.0272, 0.0258, 0.0243, 0.0225, 0.0205, 0.0192, 0.0181, 0.0177, 0.0169, 0.0159]"
106,"silva, managing, tool, groups, professional, welcome, silvia, telegram, siqueira, silvio","[0.1009, 0.0366, 0.0366, 0.0365, 0.0365, 0.0361, 0.0276, 0.0235, 0.02, 0.0072]"
107,"bertholo, agaruza, rodney, video, valkyrie, luizsergioappolinario, morgado, luzia, itacyr, sousa","[0.1301, 0.0746, 0.0709, 0.0675, 0.0639, 0.0568, 0.0522, 0.0508, 0.0507, 0.0494]"
108,"argentino, argentina, argentinos, live, fernandez, cerimedo, derecha, dolarcoldplay, dolarqatar, kirchnerismo","[0.0898, 0.0769, 0.0324, 0.022, 0.0202, 0.0136, 0.0117, 0.0089, 0.0089, 0.008]"
109,"terrabrasilnoticias, dallagnol, cranios, amplas, alongados, aponta, 144, descreve, investigue, degola","[0.0515, 0.0214, 0.0183, 0.0177, 0.0146, 0.0125, 0.0122, 0.0119, 0.0111, 0.011]"
110,"terrabrasilnoticias, numeros, vantagem, pesquisa, verita, dispara, mostra, abre, pontos, veja","[0.0331, 0.0249, 0.0218, 0.0172, 0.0167, 0.015, 0.0144, 0.0116, 0.0108, 0.0107]"
111,"limited, download, read, theepochtimes, free, app, our, time, hurricane, fbi","[0.1441, 0.128, 0.1275, 0.1243, 0.1046, 0.0883, 0.0874, 0.0636, 0.0187, 0.0184]"
112,"minas, gerais, mineiros, zema, cisne, minerio, mineiro, aumentamos, virou, negro","[0.0935, 0.0523, 0.0353, 0.0198, 0.0152, 0.0148, 0.0109, 0.0105, 0.0101, 0.0083]"
113,"bandeira, janelas, paralisacoes, bandeiras, motos, carros, verde, coloquem, amarelo, guache","[0.0433, 0.0277, 0.0217, 0.017, 0.0164, 0.0146, 0.0131, 0.0129, 0.0109, 0.0103]"
114,"podcast, ltda, flow, inteligencia, ouca, recorde, bate, tripinha, vivo, audencia","[0.1338, 0.0335, 0.0277, 0.023, 0.0178, 0.0172, 0.0168, 0.0156, 0.0148, 0.0139]"
115,"shadows, choice, they, what, have, dzearsn, theqwakening17, tyre, eliminate, ln","[0.0572, 0.0565, 0.0471, 0.0413, 0.0396, 0.0389, 0.0389, 0.0389, 0.0389, 0.0389]"
116,"tmefimtaproximo, inscreva, canal, peterswedensubstackcom, tmfimtaproximo, encalhou, tenso, putz, contribui, odysee","[0.3497, 0.2299, 0.063, 0.0298, 0.0268, 0.0181, 0.0175, 0.0112, 0.0083, 0.0073]"
117,"luis, lucas, managing, tool, groups, professional, welcome, luiz, telegram, lu","[0.0748, 0.0474, 0.0373, 0.0373, 0.0372, 0.0372, 0.0368, 0.0272, 0.024, 0.0231]"
118,"whatsapp, signal, migrar, meia, olhardigital, aplicativo, funcionar, falha, usuarios, interrupcao","[0.0531, 0.0212, 0.0103, 0.0085, 0.0083, 0.0079, 0.0074, 0.0073, 0.0073, 0.0069]"
119,"crime, crimes, organizado, compensa, criminosos, criminosa, abrandar, sbtnewscombrnoticiaeleico, estrangulou, resisti","[0.0361, 0.0168, 0.0131, 0.0093, 0.0088, 0.0085, 0.0084, 0.0084, 0.0081, 0.0079]"
120,"comunismo, socialismo, comunistas, comunista, sosffaabrasil, delicias, eneas, acabem, cultura, carneiro","[0.0252, 0.0107, 0.0104, 0.0091, 0.0078, 0.0072, 0.0065, 0.0064, 0.0055, 0.0051]"
121,"nordeste, nordestino, nordestinos, sulsudestecentrooeste, norte, nordestina, culpa, regiao, votos, votou","[0.0532, 0.0268, 0.0263, 0.0119, 0.0085, 0.0079, 0.0071, 0.0071, 0.0068, 0.0068]"
122,"clima, climaticas, ian, carbono, furacao, mudancas, aquecimento, ebc, geoengenharia, florida","[0.0219, 0.0188, 0.0167, 0.016, 0.0157, 0.0136, 0.0132, 0.0126, 0.012, 0.0116]"
123,"federal, intervencao, pedir, 142, intervencaofederalrj, agilizacao, expressivos, poderintervencao, alcancamos, qualificar","[0.0401, 0.0201, 0.0193, 0.015, 0.0136, 0.0119, 0.0104, 0.0101, 0.01, 0.0096]"
124,"guerra, perdemos, batalha, terceira, hibrida, vencermos, conferi, wwg1wga, dependemos, costura","[0.0586, 0.0134, 0.0119, 0.011, 0.0098, 0.0082, 0.0075, 0.0071, 0.0071, 0.007]"
125,"managing, tool, groups, professional, welcome, telegram, miguel, milena, erdi, toni","[0.0397, 0.0397, 0.0396, 0.0396, 0.0392, 0.0255, 0.0177, 0.0125, 0.0117, 0.0115]"
126,"ipiranoticias, elizabeth, antiporn, fochesatto, video, disney, rainha, anuncia, ii, filme","[2.487, 0.2661, 0.0299, 0.0275, 0.0167, 0.0146, 0.011, 0.0085, 0.0084, 0.0069]"
127,"impeachment, reiterados, lasier, contido, moraes, senado, pacheco, votariam, moares, cogitar","[0.1463, 0.0248, 0.0222, 0.0189, 0.0184, 0.0145, 0.0142, 0.0138, 0.0119, 0.0113]"
128,"managing, tool, groups, professional, welcome, telegram, eduardo, sergio, erica, aline","[0.0397, 0.0397, 0.0397, 0.0397, 0.0392, 0.0256, 0.0161, 0.0151, 0.0144, 0.0142]"
129,"company, congratulations, really, good, great, is, wonderful, happy, best, dear","[0.0632, 0.0364, 0.0287, 0.028, 0.0232, 0.0208, 0.0204, 0.0202, 0.0191, 0.019]"
130,"rio, janeiro, transposicao, francisco, sul, subaquaticos, redoctober, watchthewater, caca, rios","[0.0667, 0.0352, 0.0188, 0.0149, 0.0132, 0.0107, 0.0107, 0.0107, 0.0103, 0.0097]"
131,"devo, oi, quao, mande, saber, investimentos, investir, clique, quer, posso","[0.1139, 0.1073, 0.1056, 0.0941, 0.0755, 0.0632, 0.0575, 0.0445, 0.0432, 0.0431]"
132,"rumble, apresentacao, completa, removeu, part, schrieber, ender, guney, nakaradasavfk, myuu","[1.3863, 0.0386, 0.0302, 0.0277, 0.026, 0.0259, 0.0259, 0.0259, 0.0259, 0.0259]"
